Nombre_Articulo,Nombre_Producto,Nombre_Color,PeriodoMes,Tipo,Unidades,Valor_USD
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202001,Continuo,551,20290.03
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202002,Continuo,360,12814.27
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202003,Continuo,177,6872.47
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202004,Continuo,19,431.86
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202005,Continuo,123,5217.57
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202006,Continuo,165,6875.7
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202007,Continuo,456,18143.22
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202008,Continuo,333,14574.26
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202009,Continuo,404,15033.97
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202010,Continuo,312,11859.36
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202011,Continuo,287,11765.31
Fuentes,FUENTE REGGIO BLANCO,BLANCO,202012,Continuo,312,12994.03
Fuentes,FUENTE FIORE BLANCO,BLANCO,202001,Esporadico,40,3018.48
Fuentes,FUENTE FIORE BLANCO,BLANCO,202002,Esporadico,36,2638.56
Fuentes,FUENTE FIORE BLANCO,BLANCO,202003,Esporadico,7,549.93
Fuentes,FUENTE FIORE BLANCO,BLANCO,202004,Esporadico,1,77.81
Fuentes,FUENTE FIORE BLANCO,BLANCO,202005,Esporadico,2,274.36
Fuentes,FUENTE FIORE BLANCO,BLANCO,202006,Esporadico,,
Fuentes,FUENTE FIORE BLANCO,BLANCO,202007,Esporadico,28,2105.9
Fuentes,FUENTE FIORE BLANCO,BLANCO,202008,Esporadico,23,1531.83
Fuentes,FUENTE FIORE BLANCO,BLANCO,202009,Esporadico,84,5727.29
Fuentes,FUENTE FIORE BLANCO,BLANCO,202010,Esporadico,41,3220.06
Fuentes,FUENTE FIORE BLANCO,BLANCO,202011,Esporadico,31,2457.2
Fuentes,FUENTE FIORE BLANCO,BLANCO,202012,Esporadico,35,2562.08
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202001,Continuo,31,1663.72
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202002,Continuo,4,229.92
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202003,Continuo,,
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202005,Continuo,2,114.96
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202006,Continuo,11,591.29
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202007,Continuo,19,1008.65
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202008,Continuo,18,948.99
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202009,Continuo,39,1874.86
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202010,Continuo,17,906.26
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202011,Continuo,11,606.03
Fuentes,FUENTE ARIA RECTANGULAR MUEBLE BLANCO,BLANCO,202012,Continuo,42,2151.42
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202001,Continuo,11,560.66
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202002,Continuo,16,892.64
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202003,Continuo,2,108.26
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202005,Continuo,1,47.78
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202006,Continuo,9,504.8
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202007,Continuo,24,1284.4
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202008,Continuo,17,879.54
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202009,Continuo,39,1838.19
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202010,Continuo,16,867.35
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202011,Continuo,22,1148.84
Fuentes,FUENTE ARIA RECTANGULAR MURO BLANCO,BLANCO,202012,Continuo,29,1270.81
Fuentes,FUENTE BELLA BLANCO,BLANCO,202001,Continuo,8,765.7
Fuentes,FUENTE BELLA BLANCO,BLANCO,202002,Continuo,9,875.51
Fuentes,FUENTE BELLA BLANCO,BLANCO,202006,Continuo,20,1471.97
Fuentes,FUENTE BELLA BLANCO,BLANCO,202007,Continuo,6,652
Fuentes,FUENTE BELLA BLANCO,BLANCO,202008,Continuo,12,979.1
Fuentes,FUENTE BELLA BLANCO,BLANCO,202009,Continuo,16,1464.02
Fuentes,FUENTE BELLA BLANCO,BLANCO,202010,Continuo,37,2616.59
Fuentes,FUENTE BELLA BLANCO,BLANCO,202011,Continuo,47,3915.83
Fuentes,FUENTE BELLA BLANCO,BLANCO,202012,Continuo,,
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202001,Continuo,41,1955.16
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202002,Continuo,53,2536.62
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202003,Continuo,,
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202005,Continuo,6,392.67
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202006,Continuo,35,1779.42
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202007,Continuo,59,2819.18
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202008,Continuo,48,2260.86
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202009,Continuo,47,2663.78
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202010,Continuo,15,826.83
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202011,Continuo,15,998.8
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202012,Continuo,39,1612.77
Fuentes,FUENTE CASTELLI BONE,BONE,202001,Esporadico,3,172.84
Fuentes,FUENTE CASTELLI BONE,BONE,202002,Esporadico,2,95.52
Fuentes,FUENTE CASTELLI BONE,BONE,202003,Esporadico,,
Fuentes,FUENTE CASTELLI BONE,BONE,202006,Esporadico,4,275.31
